Cabin,Ticket,number,Survived
,SOTON/O2 3101287,3,0
,S.O./P.P. 3,3,0
,113798,1,1
,2683,5,0
,315090,4,0
,C.A. 5547,2,0
,CA. 2343,3,0
,349213,2,0
,248727,6,0
C92,17453,A,1
,347082,3,0
,347060,6,0
,2678,3,0
D28,PC 17592,1,1
,244252,2,0
,392091,2,1
,36928,6,1
E17,113055,A,1
,2666,6,1
,2629,2,0
,350026,5,0
,28134,2,0
D17,17466,4,1
,CA. 2343,3,0
,233866,4,0
,236852,5,1
,SC/PARIS 2149,2,1
A24,PC 17590,A,0
,345777,A,0
,347742,4,1
,349248,4,0
D35,11751,1,1
B51 B53 B55,695,6,0
,345765,6,0
,P/PP 3381,4,1
,2667,A,1
,7534,A,0
,349212,5,0
,349217,6,0
C50,11767,A,1
,230433,4,1
,349257,A,0
,7552,5,0
,C.A./SOTON 34068,1,0
,SOTON/OQ 392076,5,0
,382652,5,0
,211536,3,0
B42,112053,3,1
,W./C. 6607,1,0
C148,111369,2,1
,370376,3,0
